0.00000000e+00 0.00000000e+00 0.00000000e+00
0.00000000e+00 0.00000000e+00 0.00000000e+00
0.00000000e+00 0.00000000e+00 0.00000000e+00
0.00000000e+00 0.00000000e+00 0.00000000e+00
0.00000000e+00 0.00000000e+00 0.00000000e+00
0.00000000e+00 0.00000000e+00 0.00000000e+00
0.00000000e+00 0.00000000e+00 0.00000000e+00
0.00000000e+00 0.00000000e+00 0.00000000e+00
0.00000000e+00 0.00000000e+00 0.00000000e+00
2.81993840e-43 -1.40871509e-43 -5.71672062e-43
1.91589801e-40 -1.03231049e-40 -3.95482493e-40
2.07451041e-38 -1.19536099e-38 -4.34308651e-38
8.79505034e-37 -5.40590102e-37 -1.86438889e-36
2.02283823e-35 -1.32696097e-35 -4.33871224e-35
2.97256672e-34 -2.08640546e-34 -6.44956335e-34
3.07006265e-33 -2.31549637e-33 -6.73873146e-33
2.36634306e-32 -1.92948581e-32 -5.25615816e-32
1.41512957e-31 -1.25765403e-31 -3.18219900e-31
6.72695430e-31 -6.58598216e-31 -1.53193889e-30
2.57306999e-30 -2.81379746e-30 -5.93286803e-30
7.92006156e-30 -9.84288332e-30 -1.84449865e-29
1.93239083e-29 -2.78011858e-29 -4.49850926e-29
3.60931063e-29 -6.01008867e-29 -8.03667951e-29
5.01816530e-29 -8.03923499e-29 -8.40068803e-29
7.41962124e-29 3.88897470e-29 2.45249519e-30
3.09967318e-28 6.35770431e-28 -2.85299825e-29
1.66474448e-27 2.26173229e-27 -1.69659432e-27
6.74190198e-27 5.12011267e-27 -1.01438627e-26
2.06564303e-26 7.09420424e-27 -3.68458022e-26
4.88666437e-26 -3.48404551e-28 -9.74065487e-26
8.58121218e-26 -3.71047301e-26 -1.91115008e-25
8.66795157e-26 -1.33494382e-25 -2.42873044e-25
-7.62436349e-26 -3.07788064e-25 -1.62162478e-27
-6.38254146e-25 -4.99966551e-25 1.04740325e-24
-1.85011599e-24 -4.50607703e-25 3.56332261e-24
-3.60245752e-24 4.33276728e-25 7.65790997e-24
